GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestion-station-ski,tn.esprit.spring.configs,OpenAPIConfig,43,0,0,0,13,0,5,0,5,0
gestion-station-ski,tn.esprit.spring,GestionStationSkiApplication,8,0,0,0,3,0,2,0,2,0
gestion-station-ski,tn.esprit.spring.services,InstructorServicesImpl,56,0,0,0,10,0,6,0,6,0
gestion-station-ski,tn.esprit.spring.services,SkierServicesImpl,165,0,6,0,34,0,12,0,8,0
gestion-station-ski,tn.esprit.spring.services,PisteServicesImpl,23,0,0,0,5,0,4,0,4,0
gestion-station-ski,tn.esprit.spring.services,RegistrationServicesImpl,197,0,17,0,42,0,15,0,6,0
gestion-station-ski,tn.esprit.spring.services,SubscriptionServicesImpl,93,0,4,0,18,0,12,0,9,0
gestion-station-ski,tn.esprit.spring.services,CourseServicesImpl,24,0,0,0,4,0,4,0,4,0
gestion-station-ski,tn.esprit.spring.entities,Color,27,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.entities,TypeSubscription,21,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.entities,TypeCourse,21,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.entities,Support,15,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.controllers,CourseRestController,19,0,0,0,4,0,4,0,4,0
gestion-station-ski,tn.esprit.spring.controllers,RegistrationRestController,25,0,0,0,4,0,4,0,4,0
gestion-station-ski,tn.esprit.spring.controllers,PisteRestController,19,0,0,0,5,0,4,0,4,0
gestion-station-ski,tn.esprit.spring.controllers,SkierRestController,42,0,0,0,9,0,8,0,8,0
gestion-station-ski,tn.esprit.spring.controllers,InstructorRestController,25,0,0,0,5,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.controllers,SubscriptionRestController,26,0,0,0,5,0,5,0,5,0
